"","Sample","ID","Lab","NH4","NO3","Bank","Distance","Site","Incubation","Reach","Initial.Wet","Soil.Wet.Tin","Soil.Dry.Tin","NH4_Corr","NO3_Corr","Wet_Weight","Dry_Weight","GW","NH4_Conc","NO3_Conc","NetMin","NetNit"
"1",1,"Up3 RR 1m","183",0.56,0.12,"Right",1,"3","I","Up",10.336,65.373,21.202,0.55,0.08,62.2693333333333,18.0983333333333,2.44061147435307,18.3082073422425,2.66301197705346,2.96663477405998,-0.0912464996056124
"2",2,"Up3 RR 3m","177",0.12,0.06,"Right",3,"3","I","Up",10.667,72.508,40.895,0.11,0.02,69.4043333333333,37.7913333333333,0.83651454478099,1.8938464416041,0.34433571665529,0.845038495028127,0.590100015478391
"3",3,"Up3 RR 6m","182",0.17,0.11,"Right",6,"3","I","Up",10.605,70.909,36.142,0.16,0.07,67.8053333333333,33.0383333333333,1.05232305907279,3.0963855676723,1.35466868585663,0.261162466495073,0.146905829106446
"4",4,"Up3 RR 10m","164",0.16,0.59,"Right",10,"3","I","Up",10.73,63.541,34.067,0.15,0.55,60.4373333333333,30.9633333333333,0.951900096888793,2.7286581037588,10.0050797137823,0.0642537814686284,0.037074077968762
"5",5,"Up3 RR 20m","173",0.49,0.08,"Right",20,"3","I","Up",10.11,62.761,21.134,0.48,0.04,59.6573333333333,18.0303333333333,2.3087204895454,15.7090587040731,1.30908822533942,4.30813745013979,2.92512017839492
"6",16,"Up1 RR 1m","178",0.15,0.08,"Right",1,"1","I","Up",10.304,58.988,13.899,0.14,0.04,55.8843333333333,10.7953333333333,4.17671215957513,7.03357630377055,2.00959322964873,2.62776634820079,0.238793769995966
"7",17,"Up1 RR 3m","128",0.41,0.08,"Right",3,"1","I","Up",10.194,58.457,15.964,0.4,0.04,55.3533333333333,12.8603333333333,3.30419118218812,16.8891158806675,1.68891158806675,0.451505270485955,-0.0271426231991272
"8",18,"Up1 RR 6m","129",0.55,0.12,"Right",6,"1","I","Up",10.446,57.032,9.46,0.54,0.08,53.9283333333333,6.35633333333333,7.48418899784991,43.8585301439685,6.49756002132867,0.337589887668761,1.37757979711028
"9",19,"Up1 RR 10m","146",0.47,0.19,"Right",10,"1","I","Up",10.026,51.352,11.286,0.46,0.15,48.2483333333333,8.18233333333333,4.89664724813623,27.0542363269765,8.82203358488364,2.57718953840326,2.10123963857836
"10",20,"Up1 RR 20m","165",0.32,0.08,"Right",20,"1","I","Up",10.326,47.905,13.961,0.31,0.04,44.8013333333333,10.8573333333333,3.12636620410168,12.3878900181244,1.59843742169347,6.3107543892873,5.62285150074186
"12",27,"Up2 RR 3m","142",0.19,0.29,"Right",3,"2","I","Up",10.555,69.743,18.609,0.18,0.25,66.6393333333333,15.5053333333333,3.29783300369765,7.32932203378093,10.1796139358069,1.48598136596722,-0.622388411090403
"13",28,"Up2 RR 6m","174",0.07,0.06,"Right",6,"2","I","Up",10.434,61.123,12.471,0.06,0.02,58.0193333333333,9.36733333333333,5.19379403601167,3.56169869810907,1.18723289936969,1.90170873734818,0.0783638626820276
"14",29,"Up2 RR 10m","156",0.21,0.19,"Right",10,"2","I","Up",10.494,76.58,13.99,0.2,0.15,73.4763333333333,10.8863333333333,5.7494105759515,12.8633706421793,9.6475279816345,0.845109619609847,1.24816189973147
"15",30,"Up2 RR 20m","161",0.24,0.11,"Right",20,"2","I","Up",10.06,55.473,21.749,0.23,0.07,52.3693333333333,18.6453333333333,1.80870995423341,6.4215038715078,1.95437074350237,0.875033443981726,-0.0561487060907235
"16",41,"Mid3 RR 1m","35",0.99,0.06,"Right",1,"3","I","Mid",10.062,69.138,15.725,0.98,0.02,66.0343333333333,12.6213333333333,4.23196175787027,50.9572900289492,1.03994469446835,1.95843384738409,1.61194602382977
"17",42,"Mid3 RR 3m ","79",0.16,0.18,"Right",3,"3","I","Mid",10.103,73.954,27.153,0.15,0.14,70.8503333333333,24.0493333333333,1.94604147031103,4.37400990346089,4.08240924323017,2.49765063680834,1.78923097266939
"18",43,"Mid3 RR 6m","74",0.15,0.06,"Right",6,"3","I","Mid",10.634,65.247,19.725,0.14,0.02,62.1433333333333,16.6213333333333,2.73876945291192,4.92220917253779,0.70317273893397,0.836727537201008,0.236388751993808
"19",44,"Mid3 RR 10m","76",0.24,0.09,"Right",10,"3","I","Mid",10.674,55.981,24.946,0.23,0.05,52.8773333333333,21.8423333333333,1.42086468173425,5.21640319279442,1.13400069408574,2.42723737408098,2.62496613255467
"20",45,"Mid3 RR 20m","81",1.52,0.19,"Right",20,"3","I","Mid",10.357,52.994,20.91,1.51,0.15,49.8903333333333,17.8063333333333,1.80183080926262,40.8493243408956,4.05787990141347,1.25814229729777,0.871258638809352
"21",46,"Mid1 RR 1m","92",0.42,0.05,"Right",1,"1","I","Mid",10.085,57.159,12.833,0.41,0.01,54.0553333333333,9.72933333333333,4.555913389064,22.5872532426003,0.550908615673178,2.96651750477133,3.98088352890222
"22",47,"Mid1 RR 3m","112",0.84,0.41,"Right",3,"1","I","Mid",10.585,58.967,17.08,0.83,0.37,55.8633333333333,13.9763333333333,2.99699491998378,31.3415756597689,13.9715457760416,1.93501503143667,3.09958665145645
"23",48,"Mid1 RR 6m","106",0.33,0.17,"Right",6,"1","I","Mid",10.569,67.323,35.033,0.32,0.13,64.2193333333333,31.9293333333333,1.01129577817681,6.08964565253646,2.47391854634294,0.843830767482368,-0.13951350104029
"24",49,"Mid1 RR 10m","125",0.31,0.07,"Right",10,"1","I","Mid",10.714,75.393,38.351,0.3,0.03,72.2893333333333,35.2473333333333,1.0509163813811,5.74271900704059,0.57427190070406,0.87586564621782,0.957086051322666
"25",50,"Mid1 RR 20m","90",0.29,0.08,"Right",20,"1","I","Mid",10.535,81.442,41.543,0.28,0.04,78.3383333333333,38.4393333333333,1.03797325656012,5.41654021677108,0.773791459538726,0.251599388016738,0.513956530880603
"26",56,"Low3 RR 1m","118",0.75,0.32,"Right",1,"3","I","Low",10.772,53.804,12.616,0.74,0.28,50.7003333333333,9.51233333333333,4.32995759890668,36.6150076419508,13.8543272158733,0.230380264264799,1.9501263359863
"27",57,"Low3 RR 3m","95",0.58,0.18,"Right",3,"3","I","Low",10.38,56.983,21.488,0.57,0.14,53.8793333333333,18.3843333333333,1.93071999709898,16.0935491170175,3.95280153751307,-0.796458634920028,-0.0794412131660949
"28",58,"Low3 RR 6m","99",0.28,0.28,"Right",6,"3","I","Low",10.43,57.213,18.008,0.27,0.24,54.1093333333333,14.9043333333333,2.63044304788317,9.39807883919899,8.35384785706577,4.31101136003817,4.11137369618192
"29",59,"Low3 RR 10m","109",0.54,0.06,"Right",10,"3","I","Low",10.042,58.033,16.815,0.53,0.02,54.9293333333333,13.7113333333333,3.00612631886031,21.1436660923717,0.797874192164969,2.24446643249915,1.53929304301602
"30",60,"Low3 RR 20m","85",0.28,0.11,"Right",20,"3","I","Low",10.423,63.852,19.612,0.27,0.07,60.7483333333333,16.5083333333333,2.67985865724382,9.53239794162746,2.47136242931082,3.10076873028921,0.576822434379481
"31",61,"Low1 RR 1m ","139",0.59,0.21,"Right",1,"1","I","Low",10.152,76.829,29.433,0.58,0.17,73.7253333333333,26.3293333333333,1.80012153744873,15.9975422746283,4.68893480463242,1.42875656453919,1.32928568125448
"32",62,"Low1 RR 3m","153",0.33,0.19,"Right",3,"1","I","Low",10.299,55.651,43.876,0.32,0.15,52.5473333333333,40.7723333333333,0.288798776948421,4.00442381419065,1.87707366290187,0.518074675054886,0.191202895386299
"33",63,"Low1 RR 6m","160",0.48,0.22,"Right",6,"1","I","Low",10.712,59.498,22.497,0.47,0.18,56.3943333333333,19.3933333333333,1.90792368511516,12.758813778978,4.88635421322562,8.82679361720769,4.72024230960068
"34",64,"Low1 RR 10m","143",0.35,0.19,"Right",10,"1","I","Low",10.256,57.188,33.197,0.34,0.15,54.0843333333333,30.0933333333333,0.797219760744351,5.95802182774063,2.62853904165028,2.27916705047565,2.21160424581213
"35",65,"Low1 RR 20m","172",0.08,0.06,"Right",20,"1","I","Low",10.36,51.811,28.592,0.07,0.02,48.7073333333333,25.4883333333333,0.910965801347021,1.29119310901826,0.368912316862359,0.784257037500514,0.433181473717964
"36",71,"Mid2 RR 1m","127",1.14,0.06,"Right",1,"2","I","Mid",10.065,44.762,11.339,1.13,0.02,41.6583333333333,8.23533333333333,4.05848781672468,56.7917658509577,1.00516399736208,7.7572277064699,-0.00184522859419127
"37",72,"Mid2 RR 3m","75",0.11,0.05,"Right",3,"2","I","Mid",10.233,54.991,15.351,0.1,0.01,51.8873333333333,12.2473333333333,3.23662293832671,4.1401572738461,0.41401572738461,1.34473814057515,0.628096059393429
"38",73,"Mid2 RR 6m","78",0.21,0.06,"Right",6,"2","I","Mid",10.028,57.214,18.88,0.2,0.02,54.1103333333333,15.7763333333333,2.42984216864924,6.84053085091592,0.684053085091592,0.546314195770349,0.756622646214338
"39",74,"Mid2 RR 10m","83",0.29,0.06,"Right",10,"2","I","Mid",10.615,55.88,14.626,0.28,0.02,52.7763333333333,11.5223333333333,3.58035120201348,12.0819438206667,0.862995987190482,0.642527316378478,0.55281421941796
"40",75,"Mid2 RR 20m","91",0.44,0.06,"Right",20,"2","I","Mid",10.735,50.896,25.569,0.43,0.02,47.7923333333333,22.4653333333333,1.12738144697015,8.5214161359773,0.396344936557084,2.07323395599409,0.126152038731054
"41",76,"Low2 RR 1m","114",0.49,0.14,"Right",1,"2","I","Low",11.26,56.364,47.429,0.48,0.1,53.2603333333333,44.3253333333333,0.201577728311876,5.12217859315897,1.06712054024145,0.249492868303769,0.227201952391569
"42",77,"Low2 RR 3m","131",0.39,0.13,"Right",3,"2","I","Low",10.659,69.812,27.841,0.38,0.09,66.7083333333333,24.7373333333333,1.69666630733574,9.61378362686538,2.27694875373128,1.29521430093388,1.72034158274346
"43",78,"Low2 RR 6m","110",0.51,0.25,"Right",6,"2","I","Low",10.433,55.369,33.12,0.5,0.21,52.2653333333333,30.0163333333333,0.741229774900332,8.3448182445142,3.50482366269596,8.87080628591469,3.62484487203133
"44",79,"Low2 RR 10m","97",0.28,0.09,"Right",10,"2","I","Low",10.47,50.251,19.247,0.27,0.05,47.1473333333333,16.1433333333333,1.92054511666322,7.53149170486218,1.39472068608559,0.747997331725867,0.928253164868611
"45",80,"Low2 RR 20m","108",0.67,0.13,"Right",20,"2","I","Low",10.554,47.836,18.533,0.66,0.09,44.7323333333333,15.4293333333333,1.89917473211199,18.1301432934803,2.47229226729277,2.25015540363594,3.03363963683516
"91",6,"Up3 RL 1m","158",0.31,0.36,"Left",1,"3","I","Up",12.402,47.638,26.64,0.3,0.32,44.5343333333333,23.5363333333333,0.892152558455721,4.57705021397126,4.88218689490268,3.05383586513164,2.36856828507961
"92",7,"Up3 RL 3m","167",0.39,0.31,"Left",3,"3","I","Up",10.63,49.626,24.817,0.38,0.27,46.5223333333333,21.7133333333333,1.1425698495548,7.65923370489958,5.44208710611286,2.65822598099202,2.84373404821314
"93",8,"Up3 RL 6m","166",0.37,0.06,"Left",6,"3","I","Up",10.297,63.544,23.305,0.36,0.02,60.4403333333333,20.2013333333333,1.99189822453963,10.4601666585828,0.581120369921265,3.9802695892372,2.78344434775328
"94",9,"Up3 RL 10m","145",0.38,0.09,"Left",10,"3","I","Up",10.039,58.243,31.62,0.37,0.05,55.1393333333333,28.5163333333333,0.933605302224456,7.12654608848539,0.963046768714242,0.948262834807055,0.690237333305787
"95",10,"Up3 RL 20m","154",0.28,0.16,"Left",20,"3","I","Up",10.286,52.188,30.776,0.27,0.12,49.0843333333333,27.6723333333333,0.773769227989448,4.65601488972536,2.06933995098905,-0.21655878912312,-0.126556085244513
"96",11,"Up1 RL 1m","169",0.35,0.08,"Left",1,"1","I","Up",10.037,47.603,15.147,0.34,0.04,44.4993333333333,12.0433333333333,2.69493495709936,12.5164679228234,1.47252563797922,0.350747120866796,0.392282589072414
"97",12,"Up1 RL 3m","134",0.62,0.15,"Left",3,"1","I","Up",10.183,46.124,28.926,0.61,0.11,43.0203333333333,25.8223333333333,0.66601262473053,9.98004223790262,1.7996797478185,0.213699265589481,0.477217949670466
"98",13,"Up1 RL 6m","147",0.22,0.16,"Left",6,"1","I","Up",10.128,51.72,31.03,0.21,0.12,48.6163333333333,27.9263333333333,0.740877785602597,3.60963995829922,2.06265140474241,1.52300937893052,1.19978030695128
"99",14,"Up1 RL 10m","155",0.21,0.21,"Left",10,"1","I","Up",10.153,55.804,31.916,0.2,0.17,52.7003333333333,28.8123333333333,0.829089394587966,3.60305209216579,3.06259427834092,0.42745074985852,0.145361445284016
"100",15,"Up1 RL 20m","162",0.22,0.08,"Left",20,"1","I","Up",10.627,61.13,26.518,0.21,0.04,58.0263333333333,23.4143333333333,1.47823982460886,4.89724628933716,0.932808817016602,0.249751463298338,0.311127190081486
"101",21,"Up2 RL 1m","180",11.1,0.16,"Left",1,"2","I","Up",10.156,67.973,27.469,11.09,0.12,64.8693333333333,24.3653333333333,1.66236182554449,290.720683785825,3.14576032951298,5.65695253360252,0.498656276856726
"102",22,"Up2 RL 3m","171",4.1,0.89,"Left",3,"2","I","Up",10.101,82.369,51.864,4.09,0.85,79.2653333333333,48.7603333333333,0.625610981603899,65.8226800788036,13.6795300897269,0.0355523201121059,0.610051736228794
"103",23,"Up2 RL 6m","179",4.39,0.18,"Left",6,"2","I","Up",10.155,55.261,28.684,4.38,0.14,52.1573333333333,25.5803333333333,1.03896222358322,87.9434223465732,2.81097696998179,-4.73015503042938,0.946009710222671
"104",24,"Up2 RL 10m ","157",2.42,0.21,"Left",10,"2","I","Up",10.178,53.313,36.584,2.41,0.17,50.2093333333333,33.4803333333333,0.499666470863492,35.5098859774122,2.50484672869713,-0.779124356036509,0.00820489926249979
"105",25,"Up2 RL 20m","175",0.18,0.05,"Left",20,"2","I","Up",10.362,56.459,24.334,0.17,0.01,53.3553333333333,21.2303333333333,1.51316512537093,4.12312363745472,0.24253668455616,1.02560045047988,0.52754641862185
"106",31,"Mid1 RL 1m ","113",0.83,0.15,"Left",1,"1","I","Mid",10.051,55.362,22.712,0.82,0.11,52.2583333333333,19.6083333333333,1.66510837229069,21.7429993560677,2.91674381605787,2.58433706691076,2.20403815739244
"107",32,"Mid1 RL 3m","103",0.24,0.08,"Left",3,"1","I","Mid",10.706,59.971,20.383,0.23,0.04,56.8673333333333,17.2793333333333,2.29106061190632,7.07027779505375,1.22961352957457,1.86464577955813,0.283950290692658
"108",33,"Mid1 RL 6m","121",7.24,0.56,"Left",6,"1","I","Mid",10.501,74.249,21.998,7.23,0.52,71.1453333333333,18.8943333333333,2.76543231656758,259.252220253153,18.6460794649571,9.33702369963041,9.67528196475024
"109",34,"Mid1 RL 10m","84",0.92,0.05,"Left",10,"1","I","Mid",10.066,55.53,17.305,0.91,0.01,52.4263333333333,14.2013333333333,2.69164867148625,33.3737362512665,0.366744354409522,2.71841768168075,0.0959328413660543
"110",35,"Mid1 RL 20m","136",0.41,0.21,"Left",20,"1","I","Mid",10.119,62.805,18.915,0.4,0.17,59.7013333333333,15.8113333333333,2.77585698022516,14.9258107727054,6.3434695783998,-0.170649614765773,0.0231571941108327
"111",36,"Mid2 RL 1m","159",0.42,0.25,"Left",1,"2","I","Mid",10.597,66.625,20.346,0.41,0.21,63.5213333333333,17.2423333333333,2.68403348348058,14.2535975108714,7.30062311532436,2.60942719253641,0.708087629206235
"112",37,"Mid2 RL 3m","93",0.32,0.26,"Left",3,"2","I","Mid",10.185,57.176,14.83,0.31,0.22,54.0723333333333,11.7263333333333,3.61118849313511,14.0350361597632,9.96034824241261,2.19021339415765,2.77762086774648
"113",38,"Mid2 RL 6m","86",0.25,0.14,"Left",6,"2","I","Mid",10.086,52.497,26.88,0.24,0.1,49.3933333333333,23.7763333333333,1.0774159177894,4.94328594357977,2.05970247649157,0.582334063808071,0.78360000224137
"114",39,"Mid2 RL 10m","124",0.37,0.18,"Left",10,"2","I","Mid",10.376,50.016,20.834,0.36,0.14,46.9123333333333,17.7303333333333,1.64587994209547,9.17999979909761,3.56999992187129,1.26285822491654,1.489132053967
"115",40,"Mid2 RL 20m","137",0.34,0.39,"Left",20,"2","I","Mid",10.427,59.318,25.2,0.33,0.35,56.2143333333333,22.0963333333333,1.54405708337733,8.05158566715757,8.53956055607621,4.7977675868495,2.08661106582322
"116",51,"Low3 RL 1m ","148",0.68,0.26,"Left",1,"3","I","Low",10.313,77.722,18.076,0.67,0.22,74.6183333333333,14.9723333333333,3.98374780150055,32.3776886163615,10.6314798441784,-0.567706977129187,0.991391376379238
"117",52,"Low3 RL 3m","163",0.31,0.11,"Left",3,"3","I","Low",10.091,67.178,19.577,0.3,0.07,64.0743333333333,16.4733333333333,2.88957911776609,11.5635094175981,2.69815219743956,2.61843280526156,0.852183980937816
"118",53,"Low3 RL 6m","132",0.69,0.21,"Left",6,"3","I","Low",10.508,54.174,22.5,0.68,0.17,51.0703333333333,19.3963333333333,1.63298905291378,17.0387567185132,4.25968917962831,1.72513848752894,0.575259673013431
"119",54,"Low3 RL 10m","176",0.13,0.06,"Left",10,"3","I","Low",10.658,52.432,20.859,0.12,0.02,49.3283333333333,17.7553333333333,1.77822626065408,3.12804608067638,0.521341013446064,2.30316499168291,2.24117704747075
"120",55,"Low3 RL 20m","98",0.39,0.11,"Left",20,"3","I","Low",10.39,58.222,28.646,0.38,0.07,55.1183333333333,25.5423333333333,1.15792083730278,7.89229950120362,1.45384464495856,0.9207171303124,0.768884008448916
"121",66,"Mid3 RL 1m ","44",0.32,0.14,"Left",1,"3","I","Mid",10.082,55.356,21.257,0.31,0.1,52.2523333333333,18.1533333333333,1.87838780756518,8.85042868820876,2.85497699619637,4.83683820836565,4.56174509625604
"122",67,"Mid3 RL 3m","80",1.28,0.76,"Left",3,"3","I","Mid",10.257,54.326,11.078,1.27,0.72,51.2223333333333,7.97433333333333,5.4234000752414,79.5331782739259,45.089675871832,9.19673001281921,13.4659110318528
"123",68,"Mid3 RL 6m","100",1.01,0.41,"Left",6,"3","I","Mid",10.72,48.609,9.823,1,0.37,45.5053333333333,6.71933333333333,5.77229883917055,63.1744294698746,23.3745389038536,2.07863596261362,4.61908678974994
"125",70,"Mid3 RL 20m","126",0.36,0.11,"Left",20,"3","I","Mid",10.025,56.529,26.841,0.35,0.07,53.4253333333333,23.7373333333333,1.25068808627759,7.85776389224097,1.57155277844819,1.72585091987428,0.929621292935911
"126",81,"Low2 RL 1m","120",0.54,0.09,"Left",1,"2","I","Low",10.224,52.998,13.985,0.53,0.05,49.8943333333333,10.8813333333333,3.58531429971817,23.7697239715437,2.24242678976828,3.25578232171581,-0.119674846175634
"127",82,"Low2 RL 3m","141",0.41,0.28,"Left",3,"2","I","Low",10.323,51.523,15.72,0.4,0.24,48.4193333333333,12.6163333333333,2.83782926893709,14.8709842833947,8.92259057003683,3.82909315861255,1.29245040738128
"128",83,"Low2 RL 6m","133",0.52,0.29,"Left",6,"2","I","Low",10.044,62.92,23.182,0.51,0.25,59.8163333333333,20.0783333333333,1.97914833568523,15.1270972839453,7.41524376663987,2.50969468616312,2.50045340322356
"129",84,"Low2 RL 10m","135",0.71,0.24,"Left",10,"2","I","Low",10.232,52.66,16.307,0.7,0.2,49.5563333333333,13.2033333333333,2.75331986872002,25.6775206030494,7.33643445801411,2.38250515735507,1.73737748346802
"130",85,"Low2 RL 20m","130",0.95,0.25,"Left",20,"2","I","Low",10.572,53.912,30.291,0.94,0.21,50.8083333333333,27.1873333333333,0.868823716927,16.6164802677959,3.71219240025227,0.435021508474517,-0.152210330440472
"131",86,"Low1 RL 1m","151",0.41,0.42,"Left",1,"1","I","Low",10.424,55.751,13.696,0.4,0.38,52.6473333333333,10.5923333333333,3.97032444850049,19.0726187586358,18.118987820704,3.54538123651634,3.60987903887519
"132",87,"Low1 RL 3m","149",11.2,0.34,"Left",3,"1","I","Low",10.11,53.767,21.551,11.19,0.3,50.6633333333333,18.4473333333333,1.74637707347042,303.975860060673,8.14948686489739,15.253573303479,8.280615367089
"133",88,"Low1 RL 6m","152",0.29,0.22,"Left",6,"1","I","Low",10.261,59.628,16.649,0.28,0.18,56.5243333333333,13.5453333333333,3.17297470223447,11.3871251985737,7.32029477051169,1.64745836452296,1.92562094089693
"134",89,"Low1 RL 10m","181",0.14,0.12,"Left",10,"1","I","Low",10.23,69.894,47.202,0.13,0.08,66.7903333333333,44.0983333333333,0.514577270493972,1.92468274842831,1.18442015287896,1.87842970706561,1.57931734468864
"135",90,"Low1 RL 20m","140",0.41,0.08,"Left",20,"1","I","Low",10.713,59.927,28.402,0.4,0.04,56.8233333333333,25.2983333333333,1.24612952104882,8.38655659870743,0.838655659870743,1.21895598672009,0.786070635574501
