"","Batch","Test","ID","Reach","Site","Bank","Distance","Peak.Area","N ug","d15N","d15NO3.Blank","d15NO3.Corr","diff.NO3.d15N"
"16",3,"NO3","STD3.1","STD",NA,NA,NA,65.2003,20.8557,-8.9175,-9.55384878522418,-9.80033755619981,0.882837556199812
"17",3,"NO3","STD3.2","STD",NA,NA,NA,48.4603,15.5283,-9.0941,-9.97341240895655,-10.2199011799322,1.12580117993218
"18",3,"NO3","STD3.3","STD",NA,NA,NA,43.7483,14.0287,-9.9841,-11.0948967865875,-11.3413855575631,1.35728555756312
"34",1,"NO3","STD1.1","STD",NA,NA,NA,49.1863,17.2599,-11.0814,-11.4489067839971,4.28789617045136,-15.3692961704514
"35",1,"NO3","STD1.2","STD",NA,NA,NA,49.4243,17.3351,-13.4183,-14.2172993237869,1.51950363066157,-14.9378036306616
"36",1,"NO3","STD1.3","STD",NA,NA,NA,23.5833,9.1649,-15.985,-18.3960027555614,-2.65919980111293,-13.3258001988871
"40",2,"NO3","STD2.1","STD",NA,NA,NA,38.954,12.6263,-10.4218,-10.6510758927354,-0.00801315036829742,-10.4137868496317
"41",2,"NO3","STD2.2","STD",NA,NA,NA,84.216,27.2247,-7.2729,-7.21866224155924,3.42440050080782,-10.6973005008078
"42",2,"NO3","STD2.3","STD",NA,NA,NA,35.089,11.3797,-10.6313,-10.9112500928066,-0.268187350439526,-10.3631126495605
"46",3,"NO3","BLANK3.1","STD",NA,NA,NA,4.5153,1.543,-9.4878,-18.8899085677252,-19.1363973387008,9.64859733870084
"47",3,"NO3","BLANK3.2","STD",NA,NA,NA,4.2023,1.4434,9.7113,28.4869935014549,28.2405047304793,-18.5292047304793
"48",3,"NO3","BLANK3.3","STD",NA,NA,NA,5.0673,1.7187,11.1801,28.8004056728923,28.5539169019167,-17.3738169019167
"52",4,"NO3","STD4.1","STD",NA,NA,NA,57.7713,17.5966,-9.6982,-10.1964352113476,-2.69898564795449,-6.99921435204551
"53",4,"NO3","STD4.2","STD",NA,NA,NA,106.4183,31.5988,-3.7501,-3.53555066521513,3.96189889817802,-7.71199889817802
"54",4,"NO3","STD4.3","STD",NA,NA,NA,88.4823,26.4362,-5.678,-5.61216281361668,1.88528674977647,-7.56328674977647
"60",NA,"NO3","NO3.STD1","STD",NA,NA,NA,212.6643,62.1796,1.0494,NA,NA,NA
"61",NA,"NO3","NO3.STD2","STD",NA,NA,NA,223.88,65.412,1.3199,NA,NA,NA
"62",NA,"NO3","NO3.STD3","STD",NA,NA,NA,175.608,51.5528,1.0955,NA,NA,NA
"63",NA,"NO3","NO3.STD4","STD",NA,NA,NA,231.294,67.5406,1.3511,NA,NA,NA
"64",NA,"NO3","NO3.STD5","STD",NA,NA,NA,158.268,46.5743,0.88867,NA,NA,NA
"74",1,"NO3","LOW3 RL3","Low",3,"Left",3,13.8997,4.3274,-4.6865,-1.40477458468775,14.3320283697607,-19.0185283697607
"75",1,"NO3","LOW1 RL10","Low",1,"Left",10,17.9627,5.6435,-5.3569,-3.22212739867891,12.5146755557695,-17.8715755557695
"76",1,"NO3","LOW2 RL1","Low",2,"Left",1,9.3837,2.8647,-2.7001,4.48491532989687,20.2217182843453,-22.9218182843453
"77",1,"NO3","LOW1 RL3","Low",1,"Left",3,42.3137,13.5311,23.8874,31.721116561518,47.4579195159664,-23.5705195159664
"78",1,"NO3","LOW2 RL20","Low",2,"Left",20,16.3247,5.1129,-6.9537,-5.60071905593912,10.1360838985093,-17.0897838985093
"79",1,"NO3","LOW2 RL6","Low",2,"Left",6,17.2617,5.4164,-3.6827,-0.465400704855214,15.2714022495932,-18.9541022495932
"80",1,"NO3","LOW1 RL20","Low",1,"Left",20,8.1407,2.462,-7.7477,-5.97400974726961,9.76279320717883,-17.5104932071788
"81",1,"NO3","LOW2 RL10","Low",2,"Left",10,19.1517,6.0286,-8.0588,-7.50023330587164,8.2365696485768,-16.2953696485768
"82",1,"NO3","LOW3 RL1","Low",3,"Left",1,8.5497,2.5945,-5.8277,-1.76715600222693,13.9696469522215,-19.7973469522215
"88",2,"NO3","LOW1 RL1","Low",1,"Left",1,35.399,11.2251,-3.0498,-2.39596211327986,8.2471006290872,-11.2969006290872
"89",2,"NO3","LOW1 RL6","Low",1,"Left",6,42.399,13.5195,-1.886,-1.22361896454093,9.41944377782613,-11.3054437778261
"90",2,"NO3","LOW2 RL3","Low",2,"Left",3,34.308,10.8676,-1.2907,-0.390639677982668,10.2524230643844,-11.5431230643844
"91",2,"NO3","LOW3 RL10","Low",3,"Left",10,35.119,11.1334,-3.8893,-3.33475729107411,7.30830545129295,-11.197605451293
"92",2,"NO3","LOW3 RL6","Low",3,"Left",6,33.316,10.5424,-2.474,-1.7019974570412,8.94106528532586,-11.4150652853259
"97",1,"NO3","MID2 RL3","Mid",2,"Left",3,25.8697,8.2047,-5.5417,-4.14568374888106,11.5911192055674,-17.1328192055674
"98",1,"NO3","MID3 RL3","Mid",3,"Left",3,84.7497,27.2767,5.5972,7.32904791313547,23.0658508675839,-17.4686508675839
"99",1,"NO3","MID1 RL3","Mid",1,"Left",3,8.9013,4.5228,-0.95027,4.84359123667246,20.5803941911209,-21.5306641911209
"100",1,"NO3","MID1 RL1","Mid",1,"Left",1,18.8243,7.6602,-8.8188,-8.69794495197398,7.03885800247446,-15.8576580024745
"107",2,"NO3","MID1 RL10","Mid",1,"Left",10,35.187,11.1557,-1.3904,-0.52599118935711,10.1170715530099,-11.5074715530099
"108",2,"NO3","MID2 RL20","Mid",2,"Left",20,36.135,11.4664,-2.6983,-2.01566452630681,8.62739821606024,-11.3256982160602
"109",2,"NO3","MID1 RL20","Mid",1,"Left",20,31.438,9.9269,-2.0379,-1.15704266264169,9.48602007972537,-11.5239200797254
"110",2,"NO3","MID3 RL10","Mid",3,"Left",10,12.89,4.2198,-5.5338,-4.61173230432195,6.03133043804511,-11.5651304380451
"111",2,"NO3","MID3 RL6","Mid",3,"Left",6,30.776,9.9886,2.2637,3.73697459259111,14.3800373349582,-12.1163373349582
"112",2,"NO3","MID2 RL1","Mid",2,"Left",1,34.182,11.0871,-3.6471,-3.05991453380756,7.5831482085595,-11.2302482085595
"118",3,"NO3","MID2 RL10","Mid",2,"Left",10,20.103,6.6544,-2.0982,-1.87169008175042,-2.11817885272605,0.019978852726048
"119",3,"NO3","MID1 RL6","Mid",1,"Left",6,57.1053,18.2795,25.4934,28.8470914642085,28.6006026932329,-3.10720269323291
"120",3,"NO3","MID2 RL6","Mid",2,"Left",6,30.7613,9.8957,-0.8872,-0.469668466101438,-0.716157237077065,-0.171042762922935
"121",3,"NO3","MID3 RL20","Mid",3,"Left",20,12.4483,4.0676,-5.9105,-7.57111779919363,-7.81760657016926,1.90710657016926
"122",3,"NO3","MID3 RL10","Mid",3,"Left",10,23.1783,7.4824,0.30202,1.1986633743184,0.952174603342774,-0.650154603342774
"125",1,"NO3","UP3 RL10","Up",3,"Left",10,15.1947,4.7469,-10.4818,-11.4122673354072,4.32453561904124,-14.8063356190412
"126",1,"NO3","UP1 RL10","Up",1,"Left",10,12.0817,3.7386,-2.5882,3.01347096922794,18.7502739236764,-21.3384739236764
"131",2,"NO3","UP3 RL1","Up",3,"Left",1,36.766,11.9206,-1.4838,-0.685734360500124,9.95732838186693,-11.4411283818669
"132",2,"NO3","UP1 RL3","Up",1,"Left",3,14.214,4.6468,-6.7687,-6.30029792641053,4.34276481595653,-11.1114648159565
"133",2,"NO3","UP1 RL1","Up",1,"Left",1,9.133,3.008,-2.4644,0.245735295508274,10.8887980378753,-13.3531980378753
"134",2,"NO3","UP2 RL10","Up",2,"Left",10,17.633,5.7495,-7.0586,-6.75003190731561,3.89303083505145,-10.9516308350514
"142",3,"NO3","UP3 RL6","Up",3,"Left",6,3.5543,1.2372,3.5117,14.5568526673133,14.3103638963377,-10.7986638963377
"143",3,"NO3","UP3 RL20","Up",3,"Left",20,7.9383,2.6323,-8.0315,-12.343835280933,-12.5903240519087,4.55882405190865
"144",3,"NO3","UP2 RL1","Up",2,"Left",1,18.3683,5.9516,8.4377,12.5274725115935,12.2809837406179,-3.84328374061789
"145",3,"NO3","UP2 RL20","Up",2,"Left",20,9.5253,3.1374,-2.6671,-2.57964939759036,-2.82613816856599,0.159038168565989
"146",3,"NO3","UP2 RL6","Up",2,"Left",6,21.8663,7.0649,-5.2319,-5.97983231892879,-6.22632108990442,0.994421089904415
"147",3,"NO3","UP1 RL6","Up",1,"Left",6,17.8093,5.7737,-6.5017,-7.89352458388901,-8.14001335486464,1.63831335486464
"148",3,"NO3","UP3 RL3","Up",3,"Left",3,56.1673,17.981,5.9687,7.02480774039264,6.77831896941701,-0.809618969417009
"151",4,"NO3","UP1 RL20","Up",1,"Left",20,10.0403,3.8582,-5.6148,-5.12087200939989,2.37657755399326,-7.99137755399326
"152",4,"NO3","UP3 RL3","Up",3,"Left",3,109.4333,32.4666,12.6883,14.2204929474188,21.7179425108119,-9.02964251081194
"164",1,"NO3","LOW1 RR20","Low",1,"Right",20,12.1567,3.7629,-10.3202,-11.3560164840357,4.38078647041278,-14.7009864704128
"165",1,"NO3","LOW3 RR20","Low",3,"Right",20,10.2097,3.1322,-2.4028,4.47352632193205,20.2103292763805,-22.6131292763805
"166",1,"NO3","LOW3 RR6","Low",3,"Right",6,22.5477,7.1286,-6.4275,-5.21994957931587,10.5168533751326,-16.9443533751326
"167",1,"NO3","LOW1 RR1","Low",1,"Right",1,30.8257,9.81,-2.9421,-0.923195193793181,14.8136077606553,-17.7557077606553
"168",1,"NO3","LOW1 RR10","Low",1,"Right",10,18.4947,5.8158,-10.7145,-11.6024973814628,4.13430557298568,-14.8488055729857
"169",1,"NO3","LOW1 RR3","Low",1,"Right",3,19.8727,6.2622,-8.1689,-7.68765311516364,8.04914983928479,-16.2180498392848
"170",1,"NO3","LOW1 RR6","Low",1,"Right",6,26.8057,8.5079,-5.2149,-3.74523261922579,11.9915703352226,-17.2064703352226
"171",1,"NO3","LOW2 RR10","Low",2,"Right",10,19.8187,6.2447,-4.5429,-2.19488124667496,13.5419217077735,-18.0848217077735
"172",1,"NO3","LOW2 RR20","Low",2,"Right",20,21.3107,6.728,-13.3001,-15.302329476483,0.434473477965415,-13.7345734779654
"173",1,"NO3","LOW3 RR1","Low",3,"Right",1,15.9417,4.9889,-11.4945,-13.0319670109866,2.70483594346183,-14.1993359434618
"174",1,"NO3","LOW3 RR3","Low",3,"Right",3,8.3947,2.5443,-8.1754,-6.99913064278758,8.73767231166086,-16.9130723116609
"180",2,"NO3","LOW3 RR20","Low",3,"Right",20,37.453,11.8984,-2.3715,-1.67551928475911,8.96754345760795,-11.3390434576079
"181",2,"NO3","LOW2 RR1","Low",2,"Right",1,37.015,11.7548,-4.1671,-3.67468113149049,6.96838161087657,-11.1354816108766
"182",2,"NO3","LOW2 RR3","Low",2,"Right",3,34.425,10.9059,-2.1932,-1.41118431226319,9.23187843010387,-11.4250784301039
"183",2,"NO3","LOW2 RR6","Low",2,"Right",6,57.449,18.5915,-6.0928,-5.92525568159882,4.71780706076824,-10.8106070607682
"184",2,"NO3","LOW3 RR10","Low",3,"Right",10,8.758,2.8871,-1.8108,1.32710934232352,11.9701720846906,-13.7809720846906
"186",1,"NO3","MID1 RR1","Mid",1,"Right",1,16.2767,5.0974,-5.5954,-3.38223718649595,12.3545657679525,-17.9499657679525
"192",2,"NO3","MID3 RR1","Mid",3,"Right",1,31.218,9.8548,-2.1482,-1.27643630221934,9.36662644014772,-11.5148264401477
"193",2,"NO3","MID3 RR3","Mid",3,"Right",3,13.739,4.4936,-3.7003,-2.26796775067751,8.37509499168955,-12.0753949916896
"194",2,"NO3","MID1 RR6","Mid",1,"Right",6,33.719,10.9378,-2.0973,-1.30539306604416,9.3376696763229,-11.4349696763229
"195",2,"NO3","MID3 RR6","Mid",3,"Right",6,6.075,2.0217,-0.15069,5.47038802256627,16.1134507649333,-16.2641407649333
"196",2,"NO3","MID2 RR6","Mid",2,"Right",6,35.388,11.4761,-2.5001,-1.79406521040346,8.8489975319636,-11.3490975319636
"203",3,"NO3","MID1 RR20","Mid",1,"Right",20,12.905,4.3184,-6.1954,-7.90255177843646,-8.14904054941208,1.95364054941208
"204",3,"NO3","MID1 RR10","Mid",1,"Right",10,12.6893,4.1443,-3.3692,-3.67014915908597,-3.9166379300616,0.5474379300616
"205",3,"NO3","MID2 RR3","Mid",2,"Right",3,9.2483,3.0492,-2.2876,-1.92789256198347,-2.1743813329591,-0.113218667040902
"206",3,"NO3","MID2 RR20","Mid",2,"Right",20,10.5343,3.4585,-9.2058,-13.2238144918317,-13.4703032628073,4.26450326280735
"207",3,"NO3","MID3 RR20","Mid",3,"Right",20,14.2833,4.6516,-2.0089,-1.64325837991229,-1.88974715088792,-0.119152849112085
"208",3,"NO3","MID2 RR10","Mid",2,"Right",10,9.4803,3.1231,4.5779,9.69324421568314,9.44675544470751,-4.86885544470751
"212",4,"NO3","MID2 RR1","Mid",2,"Right",1,9.6833,3.7554,0.14244,4.65688934476576,12.1543389081589,-12.0118989081589
"213",4,"NO3","MID1 RR3","Mid",1,"Right",3,25.8263,8.4019,-3.0972,-2.08718940557096,5.41026015782219,-8.50746015782219
"214",4,"NO3","MID3 RR10","Mid",3,"Right",10,16.2983,5.6594,-3.3528,-1.97139247034432,5.52605709304883,-8.87885709304883
"217",1,"NO3","UP3 RR3","Up",3,"Right",3,7.8463,4.1892,-5.0235,-1.8919519409699,13.8448510134785,-18.8683510134785
"218",1,"NO3","UP3 RR10","Up",3,"Right",10,12.8373,5.7672,-10.365,-11.0657906473004,4.671012307148,-15.036012307148
"223",2,"NO3","UP3 RR6","Up",3,"Right",6,39.567,12.5913,-2.8058,-2.19600333651895,8.4470594058481,-11.2528594058481
"224",2,"NO3","UP3 RR1","Up",3,"Right",1,36.181,11.4815,-0.22521,0.755557304465638,11.3986200468327,-11.6238300468327
"225",2,"NO3","UP3 RR20","Up",3,"Right",20,41.559,13.2442,-3.0387,-2.48337726082193,8.15968548154513,-11.1983854815451
"226",2,"NO3","UP1 RR1","Up",1,"Right",1,6.639,2.2036,-5.2033,-3.22936489582703,7.41369784654003,-12.61699784654
"235",3,"NO3","UP2 RR20","Up",2,"Right",20,13.32,4.4531,-2.4344,-2.25953867642766,-2.50602744740328,0.0716274474032845
"236",3,"NO3","UP2 RR6","Up",2,"Right",6,12.976,4.3415,3.9392,7.30014457675919,7.05365580578356,-3.11445580578356
"237",3,"NO3","UP1 RR10","Up",1,"Right",10,12.1523,3.9734,-5.7713,-7.39536370362914,-7.64185247460476,1.87055247460476
"238",3,"NO3","UP1 RR6","Up",1,"Right",6,13.1343,4.2859,-7.2796,-9.5479316176299,-9.79442038860553,2.51482038860553
"239",3,"NO3","UP2 RR1","Up",2,"Right",1,279.0413,88.9095,4.9362,5.12461900224385,4.87813023126823,0.0580697687317722
"240",3,"NO3","UP1 RR3","Up",1,"Right",3,13.0813,4.2691,1.9225,4.31666941275679,4.07018064178116,-2.14768064178116
"241",3,"NO3","UP1 RR20","Up",1,"Right",20,38.0863,12.2268,-11.2425,-12.740049592698,-12.9865383636736,1.74403836367364
"242",3,"NO3","UP2 RR3 ","Up",2,"Right",3,29.1553,9.3846,-3.5702,-3.74951833003005,-3.99600710100568,0.425807101005676
"244",4,"NO3","UP2 RR10","Up",2,"Right",10,13.2623,4.7856,-3.6287,-2.14574932575504,5.35170023763811,-8.98040023763811
